,0
0,"[-0.011241881471593398, -0.08371096385724397, 0.19369263801058645], [1.0 + 0.0*i + 0.0*j + 0.0*k]"
1,"[-0.013215049721345566, -0.08332414024209417, 0.19399361493032147], [0.9999966125198589 + 0.0006534336334255088*i + -0.0024843829620426385*j + 0.0004193025060698216*k]"
2,"[-0.015188217971097734, -0.08293731662694435, 0.19429459185005651], [0.9999864501023861 + 0.0013068628398641043*i + -0.004968749092489384*j + 0.0008386021713818185*k]"
3,"[-0.0171613862208499, -0.08255049301179454, 0.19459556876979156], [0.9999694990790821 + 0.001960724782032668*i + -0.007454760502915007*j + 0.0012581795193332757*k]"
4,"[-0.01913455447060207, -0.08216366939664474, 0.19489654568952658], [0.99994576414204 + 0.002614573422407729*i + -0.009940721339345886*j + 0.0016777483316430617*k]"
5,"[-0.021107722720354237, -0.08177684578149494, 0.1951975226092616], [0.9999152234533871 + 0.0032688284532609254*i + -0.012428227289967663*j + 0.00209757792108033*k]"
6,"[-0.023080890970106405, -0.08139002216634512, 0.19549849952899664], [0.9998778904154976 + 0.0039230612792072175*i + -0.014915648816572119*j + 0.0025173932618278525*k]"
7,"[-0.025054059219858572, -0.08100319855119531, 0.1957994764487317], [0.9998337357449049 + 0.0045776740553003644*i + -0.017404514930083315*j + 0.00293745241317925*k]"
8,"[-0.02702722746961074, -0.08061637493604551, 0.1961004533684667], [0.9997827808333941 + 0.005232255696930542*i + -0.019893262669018464*j + 0.0033574915858248077*k]"
9,"[-0.029000395719362908, -0.08022955132089571, 0.19640143028820173], [0.9997249896801186 + 0.005887190758865452*i + -0.022383354127252102*j + 0.0037777575451123286*k]"
10,"[-0.030973563969115075, -0.0798427277057459, 0.19670240720793677], [0.9996603909408148 + 0.006542085732218033*i + -0.024873293166960256*j + 0.004197997779915869*k]"
11,"[-0.03294673221886724, -0.07945590409059608, 0.19700338412767182], [0.9995889426296383 + 0.007197307512137311*i + -0.027364474739382756*j + 0.004618447723564205*k]"
12,"[-0.03491990046861941, -0.07906908047544628, 0.19730436104740684], [0.9995106799364917 + 0.007852480226685363*i + -0.02985546976313977*j + 0.005038866182403581*k]"
13,"[-0.03689306871837158, -0.07868225686029648, 0.19760533796714186], [0.9994255556268151 + 0.00850795305582496*i + -0.03234760583556607*j + 0.005459477222086527*k]"
14,"[-0.038866236968123746, -0.07829543324514666, 0.1979063148868769], [0.9993336106908333 + 0.009163367822042218*i + -0.034839521150248055*j + 0.005880051003312608*k]"
15,"[-0.040839405217875914, -0.07790860962999685, 0.19820729180661195], [0.9992347933851831 + 0.0098190559383389*i + -0.03733247575376559*j + 0.006300800190834712*k]"
