,0
0,"[-0.0632, -0.0421, 0.6421], [0.6153 + 0.6782*i + -0.2609*j + 0.30575*k]"
1,"[-0.06430337635872253, -0.04243198090864303, 0.6394856295085232], [0.6150030753115872 + 0.6791682495871799*i + -0.26047077742606767*j + 0.30439559822217577*k]"
2,"[-0.06540675271744506, -0.04276396181728606, 0.6368712590170463], [0.6147351251239992 + 0.6801698183650654*i + -0.26005351690721284*j + 0.3030543061370436*k]"
3,"[-0.06651012907616759, -0.04309594272592909, 0.6342568885255695], [0.6144650258717064 + 0.6811703290514766*i + -0.2596350382759154*j + 0.30171072519857556*k]"
4,"[-0.06761350543489011, -0.043427923634572124, 0.6316425180340927], [0.6141927732111848 + 0.682169770241008*i + -0.2592153412398616*j + 0.30036485941332514*k]"
5,"[-0.06871688179361264, -0.043759904543215156, 0.6290281475426158], [0.6139183628230517 + 0.6831681305120659*i + -0.25879442552699444*j + 0.29901671283971026*k]"
6,"[-0.06982025815233517, -0.04409188545185819, 0.626413777051139], [0.6136417904122936 + 0.6841653984271417*i + -0.2583722908856046*j + 0.2976662895881054*k]"
7,"[-0.0709236345110577, -0.04442386636050122, 0.6237994065596622], [0.6133630517084945 + 0.6851615625330882*i + -0.25794893708442185*j + 0.2963135938209328*k]"
8,"[-0.07202701086978022, -0.04475584726914425, 0.6211850360681853], [0.6130821424660643 + 0.6861566113613978*i + -0.2575243639127059*j + 0.29495862975275106*k]"
9,"[-0.07313038722850275, -0.04508782817778728, 0.6185706655767085], [0.6127990584644671 + 0.6871505334284818*i + -0.257098571180336*j + 0.29360140165034204*k]"
10,"[-0.07423376358722528, -0.04541980908643031, 0.6159562950852316], [0.6125137955084493 + 0.6881433172359528*i + -0.25667155871790115*j + 0.2922419138327963*k]"
11,"[-0.0753371399459478, -0.045751789995073344, 0.6133419245937548], [0.6122263494282679 + 0.6891349512709092*i + -0.25624332637678876*j + 0.29088017067159583*k]"
12,"[-0.07644051630467033, -0.046083770903716376, 0.610727554102278], [0.6119367160799187 + 0.6901254240062202*i + -0.25581387402927375*j + 0.28951617659069556*k]"
13,"[-0.07754389266339286, -0.04641575181235941, 0.6081131836108011], [0.6116448913453642 + 0.6911147239008145*i + -0.2553832015686064*j + 0.28814993606660266*k]"
14,"[-0.07864726902211538, -0.04674773272100244, 0.6054988131193243], [0.6113508711327619 + 0.6921028393999702*i + -0.25495130890910017*j + 0.2867814536284539*k]"
15,"[-0.07975064538083791, -0.04707971362964547, 0.6028844426278475], [0.6110546513766919 + 0.693089758935606*i + -0.2545181959862189*j + 0.28541073385809085*k]"
16,"[-0.08085402173956044, -0.0474116945382885, 0.6002700721363706], [0.6107562280383853 + 0.6940754709265758*i + -0.2540838627566631*j + 0.2840377813901334*k]"
17,"[-0.08195739809828297, -0.04774367544693153, 0.5976557016448938], [0.6104555971059511 + 0.6950599637789645*i + -0.2536483091984563*j + 0.28266260091205114*k]"
18,"[-0.08306077445700549, -0.048075656355574564, 0.595041331153417], [0.6101527545946046 + 0.6960432258863855*i + -0.2532115353110305*j + 0.28128519716423284*k]"
19,"[-0.08416415081572802, -0.048407637264217596, 0.5924269606619401], [0.609847696546894 + 0.6970252456302798*i + -0.25277354111531103*j + 0.2799055749400533*k]"
20,"[-0.08516717289604861, -0.048779091548951964, 0.5898926856217303], [0.6095615240759694 + 0.6979915234961372*i + -0.2522645048513191*j + 0.27857710079229686*k]"
21,"[-0.08492428538175754, -0.04961213224881939, 0.5885493788607754], [0.6096053537457652 + 0.698814483981133*i + -0.25078480097515526*j + 0.27775279163769945*k]"
22,"[-0.08469389109903316, -0.05044824738994003, 0.5871937434700323], [0.6096507590790489 + 0.6996328923039987*i + -0.24929676816575072*j + 0.27693119965578633*k]"
23,"[-0.08449159076010798, -0.05124211504812189, 0.5858334848917], [0.6097088857899956 + 0.7004485772936816*i + -0.2477708271012689*j + 0.27610954781306046*k]"
24,"[-0.08433112393141146, -0.05208428754290438, 0.5844369177674007], [0.6097568856408179 + 0.701271165581131*i + -0.2462473837049018*j + 0.2752771671544579*k]"
25,"[-0.08417166197975316, -0.05292629028021168, 0.5830463130667791], [0.6098041643830986 + 0.7020977543292752*i + -0.24472513574667704*j + 0.2744216325302911*k]"
26,"[-0.08406679378666149, -0.053737375814512496, 0.5814854843863617], [0.6098354160270101 + 0.7028928847258045*i + -0.24315981913865836*j + 0.27370725295003673*k]"
27,"[-0.08303753817292145, -0.05408488980818259, 0.5801776348422334], [0.6095189577387737 + 0.7037246072314635*i + -0.24263296292189035*j + 0.2727408341955898*k]"
28,"[-0.08203005528505182, -0.05447664496829172, 0.5789380785755299], [0.6090920041523296 + 0.7046184261458945*i + -0.24217276411309796*j + 0.2717943272682544*k]"
29,"[-0.08097978639694235, -0.05461478215139508, 0.5779166824853076], [0.6089529019327599 + 0.7052901112634086*i + -0.24168530156249718*j + 0.2707959327433927*k]"
30,"[-0.08001862459313308, -0.05496356143622009, 0.5768824314899681], [0.6087453375627684 + 0.7061092224056387*i + -0.24103020714838663*j + 0.2697096944332949*k]"
31,"[-0.07904093107624854, -0.05517278792743368, 0.575869772801577], [0.6084726812847198 + 0.7069524009844715*i + -0.24038564719205602*j + 0.26868948527348674*k]"
32,"[-0.07819916412682743, -0.05566536829899882, 0.5744053046306823], [0.6082560203480729 + 0.7078453177040122*i + -0.23945398969300483*j + 0.2676591241391429*k]"
33,"[-0.07712238649893238, -0.05596484499048193, 0.5731067627543384], [0.6080289967417415 + 0.7085574608934188*i + -0.2390196642878503*j + 0.26667707778739813*k]"
34,"[-0.07620316065814836, -0.05639680400832056, 0.5718210851435012], [0.6076853326642913 + 0.7094930080078561*i + -0.2382798187105725*j + 0.26563308537889413*k]"
35,"[-0.07514964964589414, -0.05665828021226228, 0.5707409851115643], [0.6073731179771971 + 0.7102612689631698*i + -0.2378910408331698*j + 0.264640658366769*k]"
36,"[-0.07403027865886767, -0.05667754929058048, 0.5695452853294215], [0.6071567154899075 + 0.7108275296006019*i + -0.23766526599783344*j + 0.2638184363072302*k]"
37,"[-0.07296279225154499, -0.056660769562782244, 0.5678274027227745], [0.6069385447312833 + 0.7112824929151006*i + -0.23747900656682064*j + 0.2632613523325976*k]"
38,"[-0.07191797403513069, -0.056947688575447596, 0.566602781411532], [0.6069592781795717 + 0.7118449056965*i + -0.23694579526534904*j + 0.262171613588782*k]"
39,"[-0.07095629090769144, -0.057297478493671374, 0.5653750937673373], [0.6068274737363578 + 0.7126170834466842*i + -0.2362031453313689*j + 0.26104670776368705*k]"
40,"[-0.06995000010426354, -0.057551683404371654, 0.564265811959985], [0.6066067939160106 + 0.7134024385206889*i + -0.2355919404346615*j + 0.259964605071353*k]"
41,"[-0.06898437383014466, -0.05790338431157011, 0.5630838962098379], [0.6065042670274265 + 0.7141435740886629*i + -0.2348709888502909*j + 0.2588187556223103*k]"
42,"[-0.06792484362789042, -0.05823139570004241, 0.5620584566959245], [0.6064025164123231 + 0.7147183386895345*i + -0.23456939343478753*j + 0.2577418943309566*k]"
43,"[-0.06686711375911608, -0.058238423247873206, 0.5610595719574114], [0.60627764151395 + 0.7153294393956222*i + -0.23410690261658554*j + 0.2567589778011588*k]"
44,"[-0.06582477384996491, -0.0584928450853589, 0.5598615759236595], [0.6059740507546957 + 0.7161235059902128*i + -0.23359356946698356*j + 0.25572762518723874*k]"
45,"[-0.0647523348489111, -0.058677680302365205, 0.5586594360915185], [0.605830562184037 + 0.7167772775866845*i + -0.23310885482247987*j + 0.254676119929896*k]"
46,"[-0.06370684626284256, -0.05908401678934393, 0.5575553909195266], [0.605571681475191 + 0.7174872403929637*i + -0.23278172885801665*j + 0.25358956046823405*k]"
47,"[-0.06267432309599238, -0.059356462947521435, 0.5564747443949714], [0.6055295175475109 + 0.7180885631154483*i + -0.23227636381366723*j + 0.25244902399290553*k]"
48,"[-0.06168198545709575, -0.059758207503926776, 0.5552530872544033], [0.605391242529707 + 0.7188142354244085*i + -0.23164904951806603*j + 0.251289188539693*k]"
49,"[-0.06068600128969, -0.06016064976208245, 0.5540362507488551], [0.6052248412366734 + 0.7195537184432007*i + -0.23103778259826227*j + 0.25013372590813215*k]"
50,"[-0.05972828744995663, -0.06055928963615965, 0.552674012688875], [0.6050867853475929 + 0.7203081791238967*i + -0.23028888810171413*j + 0.2489842109488249*k]"
51,"[-0.05767615426637866, -0.05733123914704225, 0.5493240627151234], [0.6045477595429696 + 0.7200189870630715*i + -0.23109430419041002*j + 0.25037988591537164*k]"
52,"[-0.05537329206405616, -0.05408668943527867, 0.546134304444085], [0.6040276149396833 + 0.7197417901065147*i + -0.23186510862619497*j + 0.25171604511097445*k]"
53,"[-0.05557560862793242, -0.05229011941315114, 0.543628553404985], [0.6046997500432945 + 0.719378165687583*i + -0.23009619878478849*j + 0.25276274712531666*k]"
54,"[-0.05368976891047834, -0.04892598320456762, 0.5422992936992083], [0.6050750989704502 + 0.7194131611151567*i + -0.2292991154144721*j + 0.25248909657713503*k]"
55,"[-0.051936998420644524, -0.04566162259206905, 0.5409953655385569], [0.6055482528282151 + 0.7194445846733848*i + -0.22837174387918657*j + 0.25210543365508037*k]"
56,"[-0.050351335021363276, -0.04247027504996314, 0.5397566165694547], [0.6060601810977309 + 0.7195002371233118*i + -0.22731158088499986*j + 0.25167421572907744*k]"
57,"[-0.0487895635993458, -0.03928390740603563, 0.538498862945059], [0.6066081668047345 + 0.7195265339307665*i + -0.22623535111310428*j + 0.2512482136097837*k]"
58,"[-0.04698987866794081, -0.035866241336224645, 0.5372243175633364], [0.6070478932302579 + 0.7195417916013764*i + -0.22553715423761875*j + 0.25076973007558845*k]"
59,"[-0.04514150072728733, -0.03225849646509306, 0.5358466756695623], [0.6073951160150795 + 0.7195806760818018*i + -0.2250489191817628*j + 0.2502554847067407*k]"
60,"[-0.04298674655624995, -0.028491124266231703, 0.5342690581529798], [0.6075570372623559 + 0.7195835280809948*i + -0.22493173989295082*j + 0.2499594066568138*k]"
61,"[-0.04108546208396067, -0.02526269852135419, 0.530681399380141], [0.6069439003235576 + 0.7193549335337387*i + -0.2257197631553775*j + 0.25139246206236565*k]"
62,"[-0.037986743050054596, -0.02280472035027985, 0.5283771438364394], [0.6063388718677817 + 0.7191410453830498*i + -0.22710889413669041*j + 0.2522119733705953*k]"
63,"[-0.03639036404157505, -0.01943869021693125, 0.5245294328363894], [0.6056243274591464 + 0.7189568901377584*i + -0.228167874448663*j + 0.2534947438955666*k]"
64,"[-0.03435158425606414, -0.01573928097246925, 0.5230184620475754], [0.605881678437913 + 0.718973676329114*i + -0.22778065821467233*j + 0.253180205036544*k]"
65,"[-0.0324194904913261, -0.011933049227971894, 0.5214440558668628], [0.6061309713665995 + 0.7189883928422991*i + -0.2275460337582497*j + 0.25275232744550563*k]"
66,"[-0.03041799365792664, -0.008048532997192314, 0.5197378475397219], [0.6062904045306405 + 0.7190082094421141*i + -0.2274815031374963*j + 0.2523713649747583*k]"
67,"[-0.028441857107747173, -0.004166590318825788, 0.5180611690063052], [0.6064393012081968 + 0.7190538719893649*i + -0.22736454887066687*j + 0.251988620862241*k]"
68,"[-0.026470537776047062, -0.0002818472634605897, 0.5163926752870658], [0.6066026884754029 + 0.7190851346777919*i + -0.22725753024880935*j + 0.2516023894263466*k]"
69,"[-0.024508028194667922, 0.0036231315022607915, 0.5146642034197154], [0.6067545195353281 + 0.7191180799542086*i + -0.22711249020582125*j + 0.25127287338456655*k]"
70,"[-0.02390317157503304, 0.006451456985141078, 0.5128468951664906], [0.6074820774840424 + 0.7189778124687836*i + -0.22533139004378747*j + 0.25151977133857556*k]"
71,"[-0.023276480947849176, 0.009221102263764614, 0.5109613616833335], [0.6081862068371232 + 0.7188824442848298*i + -0.22351469276881114*j + 0.25171164301359694*k]"
72,"[-0.02267495609143109, 0.012015830192113924, 0.5091357050815435], [0.6088805786840623 + 0.7187828546959659*i + -0.22170302809734524*j + 0.2519194633785712*k]"
73,"[-0.022089311673340817, 0.014800281991836597, 0.5072694674367395], [0.6095671487612151 + 0.7186859092466403*i + -0.21987860634241294*j + 0.25213459396594295*k]"
74,"[-0.02148481722487134, 0.017606336483147734, 0.5053605864444786], [0.6102368900900251 + 0.7185977748285837*i + -0.2180546457029298*j + 0.25234965320370956*k]"
75,"[-0.020929791095249145, 0.020403859659975043, 0.503567896377132], [0.6109299503734679 + 0.718485268084228*i + -0.2162386905959614*j + 0.252555625500505*k]"
76,"[-0.020353611699169095, 0.02321115673946708, 0.5017328941697647], [0.611617034645231 + 0.718375772160774*i + -0.21442220131004366*j + 0.2527527892814265*k]"
77,"[-0.019766232543135642, 0.02601715460614073, 0.49985185421899714], [0.6122918925162797 + 0.718276465637727*i + -0.2125977596771313*j + 0.25294218677411817*k]"
78,"[-0.019206774732228375, 0.028837564680087694, 0.4979639641747578], [0.6129772208420775 + 0.7181516908373237*i + -0.21077894911197864*j + 0.2531586662302243*k]"
79,"[-0.01864626495693585, 0.03167200597663639, 0.4960469919890563], [0.6136323288253405 + 0.7180497557674917*i + -0.2089507477936628*j + 0.25337619907778186*k]"
80,"[-0.018109638813274195, 0.034506732854582424, 0.49412445986379094], [0.6143113560701237 + 0.7179152357242835*i + -0.20712950005803668*j + 0.25360725999848693*k]"
81,"[-0.01756981337780719, 0.03736879425968579, 0.492173389392379], [0.6149748570996891 + 0.7177790007566414*i + -0.20531178009819348*j + 0.2538627663934304*k]"
82,"[-0.01705201855990495, 0.04019699034323727, 0.4902202491733703], [0.6156306187981657 + 0.7176552520597463*i + -0.20347413460323774*j + 0.254102650392933*k]"
83,"[-0.01652891687323178, 0.04302865956761254, 0.48826051428964856], [0.616283328338927 + 0.7175323227989637*i + -0.20163620546917846*j + 0.254332588541479*k]"
84,"[-0.016031706089928096, 0.04585246358000252, 0.4863102040670212], [0.6169699347859262 + 0.717376087479063*i + -0.199806824954783*j + 0.25455231561502345*k]"
85,"[-0.015528520584776443, 0.048657052778879786, 0.48435279968290235], [0.6176750702496914 + 0.7172103092274562*i + -0.19797800791983786*j + 0.25473827413639316*k]"
86,"[-0.015053147635060748, 0.05147429866993081, 0.4823849439295265], [0.6183712155190655 + 0.7170364174121931*i + -0.196147009468611*j + 0.25495522469383003*k]"
87,"[-0.014583404152313508, 0.054295610252901236, 0.4804740925895043], [0.6190712059719056 + 0.7168580272096592*i + -0.19432029165737313*j + 0.25515688313615925*k]"
88,"[-0.014112517903002577, 0.057118047818274925, 0.47848455913379145], [0.6197512517993098 + 0.716690349063409*i + -0.19248228202446235*j + 0.2553701246411039*k]"
89,"[-0.013644889766428659, 0.05992308873507604, 0.47651435684712407], [0.6204370454867805 + 0.7165227240260228*i + -0.19063963546336457*j + 0.2555574063343855*k]"
90,"[-0.013195364938131879, 0.06271447712869839, 0.4745910334566511], [0.6211399240930725 + 0.7163423158227459*i + -0.1887992522804865*j + 0.25572196541886444*k]"
91,"[-0.01276272546106824, 0.06549206673793617, 0.47266110751685286], [0.6218328883059745 + 0.7161682562010815*i + -0.18694737772648007*j + 0.2558858452360047*k]"
