,0
0,"[-0.05462814478541594, -0.0007529330590515207, 0.014021519886405846], [1.0 + 0.0*i + 0.0*j + 0.0*k]"
1,"[-0.052584978904961804, -0.0021869948228507613, 0.014444108346302303], [0.9999997810390774 + 0.00027904161013857275*i + 0.0003450152097626812*j + -0.0004909399984821996*k]"
2,"[-0.05054181302450768, -0.003621056586650002, 0.01486669680619876], [0.9999991241564056 + 0.0005580830980787287*i + 0.0006900302684356652*j + -0.0009818797819710495*k]"
3,"[-0.04849864714405355, -0.005055118350449243, 0.015289285266095217], [0.9999980286957467 + 0.0008372637746559854*i + 0.0010352174240113368*j + -0.001473064451049733*k]"
4,"[-0.04645548126359942, -0.006489180114248484, 0.015711873725991674], [0.9999964948763507 + 0.0011164440842106275*i + 0.0013804041257895114*j + -0.001964248474396471*k]"
5,"[-0.04441231538314529, -0.007923241878047724, 0.016134462185888133], [0.9999945216076854 + 0.001395762917177205*i + 0.0017257621019665193*j + -0.0024556762129497385*k]"
6,"[-0.04236914950269116, -0.009357303641846965, 0.01655705064578459], [0.9999921095451659 + 0.0016750811376882373*i + 0.0020711193208855744*j + -0.0029471028739614727*k]"
7,"[-0.0408974178846203, -0.009475840051061528, 0.01690450974195882], [0.9999898332200261 + 0.0016036250021954546*i + 0.0022245060858768475*j + -0.0035795832314034905*k]"
8,"[-0.03942568626654943, -0.00959437646027609, 0.017251968838133052], [0.9999871282291815 + 0.0015321681792766408*i + 0.002377891897288956*j + -0.004212062054385338*k]"
9,"[-0.03957151253219093, -0.009727196978093482, 0.017622972121692743], [0.9999845645969372 + 0.0015755158017533323*i + 0.0023541481517598555*j + -0.0047797807807484025*k]"
10,"[-0.039717338797832444, -0.009860017495910875, 0.017993975405252435], [0.9999816762157995 + 0.0016188629125751138*i + 0.002330403641711947*j + -0.0053474979548589876*k]"
11,"[-0.03972335843125152, -0.00994155051993155, 0.01828453335429102], [0.9999784071332591 + 0.0016274280003415144*i + 0.002191155423463805*j + -0.005977924660247889*k]"
12,"[-0.03972937806467059, -0.010023083543952226, 0.018575091303329603], [0.9999747211477766 + 0.0016359924096137424*i + 0.0020519062916967944*j + -0.006608348873368596*k]"
13,"[-0.03887937067321956, -0.009541349728517414, 0.018875570211337685], [0.9999703949544438 + 0.0013288318670737292*i + 0.0019887163289409463*j + -0.007313578322936356*k]"
14,"[-0.038029363281768536, -0.009059615913082604, 0.019176049119345766], [0.9999654730708842 + 0.0010216705329381245*i + 0.0019255251814911444*j + -0.008018803415748003*k]"
15,"[-0.03803999187297455, -0.009055675557281921, 0.019564339884662954], [0.9999604681226774 + 0.0011093394163728747*i + 0.001880580923723847*j + -0.008619453191743233*k]"
16,"[-0.038050620464180555, -0.009051735201481238, 0.019952630649980138], [0.9999550926780951 + 0.0011970078887851435*i + 0.0018356359691805886*j + -0.009220099774136048*k]"
17,"[-0.03810927374525695, -0.009208087431278614, 0.02031548187542504], [0.9999491943566028 + 0.001231372795125729*i + 0.0017711256383528306*j + -0.009846600458721067*k]"
18,"[-0.03816792702633334, -0.009364439661075991, 0.020678333100869944], [0.9999428981748975 + 0.0012657372115271804*i + 0.001706614602828846*j + -0.010473097225536486*k]"
19,"[-0.03816685378882276, -0.0092631231606733, 0.02110244751469251], [0.9999360715435762 + 0.001338335181527975*i + 0.0017489382361516983*j + -0.01109066724719106*k]"
20,"[-0.038165780551312166, -0.009161806660270609, 0.021526561928515077], [0.9999288564360018 + 0.0014109326315840931*i + 0.0017912611900101402*j + -0.011708232960109326*k]"
21,"[-0.03829039519698917, -0.009356278179050133, 0.021872557942428844], [0.9999210340229061 + 0.0016562254622264278*i + 0.0018795603166507657*j + -0.01231462093597159*k]"
22,"[-0.03841500984266618, -0.009550749697829658, 0.022218553956342615], [0.9999127759113425 + 0.0019015175711968788*i + 0.001967858624305169*j + -0.012921003545948658*k]"
23,"[-0.03843132273121873, -0.009626983233814211, 0.022551914573266267], [0.999905055081784 + 0.0019153495137175748*i + 0.0018596760668741644*j + -0.013518648714311226*k]"
24,"[-0.038447635619771284, -0.009703216769798765, 0.02288527519018992], [0.9998969651531262 + 0.0019291807492173622*i + 0.0017514928229732218*j + -0.014116288892478934*k]"
25,"[-0.03829063042727157, -0.00958723263509691, 0.0232203531270911], [0.9998882922364691 + 0.001899855099905887*i + 0.0016867838782211033*j + -0.014729166954890797*k]"
26,"[-0.03813362523477186, -0.009471248500395053, 0.023555431063992285], [0.9998792386203637 + 0.0018705287272398194*i + 0.0016220742912395516*j + -0.015342039409290466*k]"
27,"[-0.038297605067624495, -0.009734738100689012, 0.023881166326525424], [0.9998706050992667 + 0.0018902370430867832*i + 0.0013752799503399895*j + -0.015915673639702997*k]"
28,"[-0.03846158490047713, -0.009998227700982973, 0.024206901589058562], [0.9998615812020565 + 0.0019099446209348636*i + 0.0011284850724945076*j + -0.01648930165621267*k]"
29,"[-0.03833482691371459, -0.009878976917122875, 0.02457359033102419], [0.9998513471336573 + 0.001889729490326877*i + 0.0011349349611101942*j + -0.0171004233894498*k]"
30,"[-0.03820806892695205, -0.009759726133262776, 0.02494027907298982], [0.9998407390960962 + 0.0018695136529132677*i + 0.0011413844252321028*j + -0.017711538726705146*k]"
31,"[-0.03822592855953204, -0.009829062159883314, 0.025269026971544255], [0.9998302134177831 + 0.0018785872795355771*i + 0.0010302674324755643*j + -0.018301742971668512*k]"
32,"[-0.03824378819211202, -0.009898398186503853, 0.025597774870098695], [0.9998193269195854 + 0.0018876602282111349*i + 0.0009191500679149223*j + -0.018891940611877694*k]"
